flat_id,destination_id,pt_total,pt_walk,pt_bus,pt_rail,pt_transit,pt_transfers,pt_fare,drive_total,cycle_total,walk_total
"R40","D04","40","5","26","5","32","1","1.63","20","155","146"
"R40","D05","47","14","14","16","30","1","2.02","28","214","187"
"R40","D06","64","15","24","21","46","1","2.11","27","157","177"
"R40","D07","70","8","37","16","53","1","2.33","32","260","247"
"R40","D08","50","11","13","20","34","1","1.78","28","140","179"
"R40","D09","31","7","8","13","21","1","1.9","17","72","131"
"R40","D10","54","21","24","4","29","1","2.98","19","196","156"
"R41","D01","27","4","17","0","17","0","2.59","13","63","76"
"R41","D02","48","23","9","8","18","1","1.82","15","65","98"
"R41","D03","39","10","0","24","25","0","2.11","22","151","182"
"R41","D04","48","14","4","22","27","1","1.71","23","153","188"
"R41","D05","32","19","0","9","10","0","1.68","16","81","94"
"R41","D06","-1","-1","-1","-1","-1","0","0.0","38","279","345"
"R41","D07","9","4","5","0","5","0","1.28","6","27","21"
"R41","D08","54","15","6","26","33","1","1.88","31","124","214"
"R41","D09","50","11","0","31","32","0","2.07","24","138","150"
"R41","D10","49","21","2","18","20","1","1.98","20","118","163"
"R42","D01","23","2","18","0","18","0","1.59","12","61","71"
"R42","D02","46","24","8","8","17","1","1.75","16","67","103"
"R42","D03","36","12","0","24","24","0","2.07","22","149","176"
"R42","D04","43","18","0","24","24","0","2.07","23","151","183"
"R42","D05","30","20","0","9","9","0","1.68","15","79","89"
"R42","D06","75","18","7","46","53","1","2.45","37","277","341"
"R42","D07","6","3","3","0","3","0","1.28","5","25","19"
"R42","D08","51","16","5","26","32","1","1.86","30","122","212"
"R42","D09","43","3","31","0","31","0","2.98","23","136","145"
"R42","D10","48","30","0","18","18","0","1.94","19","116","158"
"R43","D01","35","8","11","9","20","1","1.86","18","94","118"
"R43","D02","38","16","19","0","19","0","1.59","11","35","59"
"R43","D03","43","7","4","29","33","1","2.24","28","181","224"
"R43","D04","51","14","4","29","33","1","2.24","29","184","231"
"R43","D05","37","16","4","14","18","1","1.9","21","111","137"
"R43","D06","83","14","11","51","62","1","2.49","42","309","384"
"R43","D07","25","6","19","0","19","0","1.59","13","58","64"
"R43","D08","71","19","26","20","47","1","2.02","31","155","236"
"R43","D09","53","11","4","30","34","1","2.2","29","168","192"
"R43","D10","56","25","4","23","27","1","2.11","25","149","206"
